make,model,vin,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,Odyssey,5FNRL3H71AB088383,9495.0,2010,145090,6 Cyl,Gray,Gray,Automatic,FWD,16,23,Used
Honda,Civic,JHMFC1F72JX016414,20990.0,2018,7612,4 Cyl,Red,Black,Automatic,FWD,32,42,Used
Honda,Accord,1HGCV1F58JA059835,22981.0,2018,48672,4 Cyl,Silver,Black,Automatic,FWD,29,35,Used
Honda,Accord,1HGCV1F11JA025037,17981.0,2018,55237,4 Cyl,Gold,Tan,Automatic,FWD,29,35,Used
Honda,Civic,SHHFK7H47JU415483,19988.0,2018,36278,4 Cyl,White,Unspecified,Automatic,FWD,30,36,Used
Honda,CR-V,5J6RM4H50GL130530,19988.0,2016,34439,4 Cyl,White,Unspecified,Automatic,AWD,25,31,Used
Honda,Pilot,5FNYF5H39JB011532,26981.0,2018,30010,6 Cyl,White,Tan,Automatic,FWD,19,27,Used
Honda,CR-V,5J6RM4H30EL078344,12995.0,2014,115664,4 Cyl,White,Unspecified,Automatic,AWD,22,29,Used
Honda,Civic,19XFC1F30HE213672,15990.0,2017,39676,4 Cyl,Purple,Gray,Automatic,FWD,31,40,Used
Honda,Civic,SHHFK7H57HU225136,19989.0,2017,22744,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC2F78HH508422,18991.0,2017,17606,4 Cyl,Red,Black,Automatic,FWD,31,40,Used
Honda,CR-V,2HKRW2H95JH626877,28928.0,2018,26363,4 Cyl,White,Tan,Automatic,AWD,27,33,Used
Honda,CR-V,7FARW1H86HE030689,23499.0,2017,21067,4 Cyl,Black,Black,Automatic,FWD,28,34,Used
Honda,Pilot,5FNYF18548B048914,9250.0,2008,123855,6 Cyl,White,Tan,Automatic,4WD,15,20,Used
Honda,Odyssey,5FNRL38685B034530,6527.0,2005,69872,6 Cyl,Blue,Unspecified,Automatic,FWD,17,23,Used
Honda,Pilot,5FNYF5H16HB020360,20500.0,2017,43480,6 Cyl,White,Tan,Automatic,FWD,19,27,Used
Honda,Odyssey,5FNRL5H91FB027507,18998.0,2015,90000,6 Cyl,White,Tan,Automatic,FWD,19,27,Used
Honda,Civic,2HGFA16847H304773,4450.0,2007,193936,4 Cyl,White,Gray,Automatic,FWD,25,36,Used
Honda,Accord,1HGCV2F5XJA002770,22981.0,2018,34649,4 Cyl,White,Black,Automatic,FWD,23,34,Used
Honda,Pilot,5FNYF5H16HB020360,20500.0,2017,43480,6 Cyl,White,Tan,Automatic,FWD,19,27,Used
Honda,Ridgeline,5FPYK3F74JB001245,29988.0,2018,33288,6 Cyl,White,Black,Automatic,AWD,18,25,Used
Honda,CR-V,2HKRM3H30GH564109,17555.0,2016,26788,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Civic,2HGFC3B98HH353769,20991.0,2017,8933,4 Cyl,Silver,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,19XFB2F58FE707513,12555.0,2015,77470,4 Cyl,Black,Black,Automatic,FWD,29,37,Used
Honda,Civic,2HGFC4B07JH304642,17481.0,2018,15376,4 Cyl,Gray,Gray,Automatic,FWD,30,39,Used
Honda,Civic,2HGFC3B92GH359906,19485.0,2016,17814,4 Cyl,Silver,Black,Automatic,FWD,31,41,Used
Honda,Ridgeline,5FPYK1F56DB001089,16990.0,2013,116743,6 Cyl,White,Gray,Automatic,4WD,16,21,Used
Honda,Passport,4S6DM58W114403378,4800.0,2001,98956,6 Cyl,White,Gray,Automatic,4WD,15,19,Used
Honda,Accord,1HGCV1F59JA030795,23749.0,2018,37384,4 Cyl,White,Black,Automatic,FWD,29,35,Used
Honda,Odyssey,5FNRL5H25FB099653,15675.0,2015,64939,6 Cyl,Silver,Gray,Automatic,FWD,19,27,Used
Honda,Civic,19XFC2F58GE244724,14695.0,2016,39866,4 Cyl,Gray,Black,Automatic,FWD,30,40,Used
Honda,Pilot,5FNYF6H06HB075307,36991.0,2017,19060,6 Cyl,Green,Tan,Automatic,AWD,18,26,Used
Honda,Civic,19XFC1F35HE204269,17999.0,2017,32060,4 Cyl,Blue,Unspecified,Automatic,FWD,31,40,Used
Honda,CR-V,5J6RM4H48GL116057,17991.0,2016,35920,4 Cyl,White,Tan,Automatic,AWD,25,31,Used
Honda,Accord,1HGCV1F53JA079247,26769.0,2018,10723,4 Cyl,Black,Black,Automatic,FWD,29,35,Used
Honda,Civic,19XFC1F30HE204051,18888.0,2017,18534,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Ridgeline,5FPYK3F67JB014708,30991.0,2018,17668,6 Cyl,Silver,Black,Automatic,AWD,18,25,Used
Honda,CR-V,5J6RE3H57AL018838,9500.0,2010,128839,4 Cyl,White,Gray,Automatic,FWD,21,28,Used
Honda,Civic,2HGFC2F70JH590491,19887.0,2018,14681,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC2F59JH559304,17991.0,2018,22488,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,CR-V,2HKRM3H51GH547627,19491.0,2016,33992,4 Cyl,Silver,Black,Automatic,FWD,26,32,Used
Honda,Pilot,5FNYF6H98HB081950,34672.0,2017,34149,6 Cyl,White,Black,Automatic,AWD,18,26,Used
Honda,Accord,1HGCV1F53KA031345,26882.0,2019,13905,4 Cyl,Gray,Gray,Automatic,FWD,29,35,Used
Honda,Civic,2HGFC2F70JH590491,19887.0,2018,14681,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC2F59JH559304,17991.0,2018,22488,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,1HGCV1F3XJA072083,23788.0,2018,26182,4 Cyl,White,Black,Automatic,FWD,29,35,Used
Honda,CR-V,7FARW2H53JE040842,26492.0,2018,12438,4 Cyl,Silver,Gray,Automatic,AWD,27,33,Used
Honda,CR-V,2HKRM3H49GH551819,18991.0,2016,23630,4 Cyl,Black,Black,Automatic,FWD,26,32,Used
Honda,Accord,1HGCR2F56HA082874,20497.0,2017,34711,4 Cyl,White,Black,Automatic,FWD,26,34,Used
Honda,Civic,19XFC2F59HE203634,10981.0,2017,115733,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGEJ6616YH552794,5250.0,2000,53231,4 Cyl,Blue,Gray,Automatic,FWD,24,32,Used
Honda,Odyssey,5FNRL5H49EB113912,15597.0,2014,62000,6 Cyl,Silver,Gray,Automatic,FWD,19,27,Used
Honda,Accord,1HGCR2F39GA064284,17988.0,2016,5726,4 Cyl,White,Tan,Automatic,FWD,26,34,Used
Honda,Fit,JHMGK5H75GS012553,14490.0,2016,31950,4 Cyl,White,Black,Automatic,FWD,32,37,Used
Honda,Pilot,5FNYF4H96AB001720,12997.0,2010,130000,6 Cyl,Blue,Black,Automatic,4WD,16,22,Used
Honda,Accord,JHMCP26738C041059,6988.0,2008,128730,4 Cyl,Red,White,Automatic,FWD,21,31,Used
Honda,Accord,1HGCV1F5XJA162772,26495.0,2018,8970,4 Cyl,White,Gray,Automatic,FWD,29,35,Used
Honda,Odyssey,5FNRL5H97CB058885,14750.0,2012,117067,6 Cyl,Silver,Gray,Automatic,FWD,18,27,Used
Honda,Fit,3HGGK5H47KM728235,15987.0,2019,10507,4 Cyl,White,Black,Automatic,FWD,31,36,Used
Honda,Accord,1HGCR2F00HA002943,18555.0,2017,46316,4 Cyl,Black,White,Automatic,FWD,26,34,Used
Honda,HR-V,3CZRU5H56GM734393,16955.0,2016,49745,4 Cyl,White,Black,Automatic,FWD,28,34,Used
Honda,Civic,19XFB2F53FE200339,12991.0,2015,33275,4 Cyl,Black,Unspecified,Automatic,FWD,29,37,Used
Honda,CR-V,5J6RW1H87JL009701,27491.0,2018,17174,4 Cyl,Red,White,Automatic,FWD,28,34,Used
Honda,CR-V,5J6RM4H76EL112712,15695.0,2014,96103,4 Cyl,Red,Gray,Automatic,AWD,22,29,Used
Honda,Civic,JHMFC1F3XJX004055,21742.0,2018,6063,4 Cyl,Blue,Black,Automatic,FWD,32,42,Used
Honda,HR-V,3CZRU5H57JG700419,15394.0,2018,59502,4 Cyl,Gray,Black,Automatic,FWD,28,34,Used
Honda,Accord,1HGCV1F16JA138532,20749.0,2018,21038,4 Cyl,Silver,Black,Automatic,FWD,29,35,Used
Honda,Accord,1HGCT1B71FA008715,15499.0,2015,28933,4 Cyl,Silver,Unspecified,Automatic,FWD,26,34,Used
Honda,Civic,SHHFK7H26JU415814,16988.0,2018,15869,4 Cyl,Black,Black,Automatic,FWD,32,42,Used
Honda,Pilot,5FNYF4H61AB040883,8995.0,2010,159570,6 Cyl,White,Black,Automatic,4WD,16,22,Used
Honda,Accord,1HGCR2F5XHA058593,19727.0,2017,36934,4 Cyl,Black,Unspecified,Automatic,FWD,26,34,Used
Honda,Civic,2HGFG3B88CH560652,6999.0,2012,128182,4 Cyl,Red,Black,Automatic,FWD,28,38,Used
Honda,Civic,19XFC2F56GE233012,14995.0,2016,58149,4 Cyl,Gray,Unspecified,Automatic,FWD,30,40,Used
Honda,Accord,1HGCR2F50GA102678,18362.0,2016,25324,4 Cyl,Gray,Black,Automatic,FWD,26,34,Used
Honda,Accord,1HGCR2F56HA229002,19987.0,2017,32320,4 Cyl,White,Black,Automatic,FWD,26,34,Used
Honda,CR-V,7FARW1H50JE042221,26399.0,2018,3640,4 Cyl,Silver,Unspecified,Automatic,FWD,28,34,Used
Honda,Ridgeline,2HJYK16578H528093,9999.0,2008,129455,6 Cyl,Burgundy,Tan,Automatic,4WD,15,20,Used
Honda,Civic,19XFC2F52HE221747,16929.0,2017,54105,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Fit,3HGGK5H07JM728425,15518.0,2018,55984,4 Cyl,Black,Unspecified,Automatic,FWD,31,36,Used
Honda,Accord,1HGCR2F83HA073768,19600.0,2017,36560,4 Cyl,Red,Tan,Automatic,FWD,26,34,Used
Honda,Civic,19XFC2F7XHE219374,18991.0,2017,16602,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Civic,19XFC2F53GE235865,14991.0,2016,45457,4 Cyl,Burgundy,White,Automatic,FWD,30,40,Used
Honda,Civic,SHHFK7H57HU408116,18988.0,2017,36885,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,CR-V,5J6RE3H76BL012600,10000.0,2011,112393,4 Cyl,Gray,White,Automatic,FWD,21,28,Used
Honda,Civic,2HGFC2F54JH553278,17991.0,2018,19584,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC2F57JH528259,17991.0,2018,16792,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC2F76JH507470,19991.0,2018,14449,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,HR-V,3CZRU5H54JM704056,19981.0,2018,11938,4 Cyl,Gray,Gray,Automatic,FWD,28,34,Used
Honda,Civic,2HGFC3A59JH756356,20344.0,2018,20538,4 Cyl,Green,Black,Manual,FWD,28,38,Used
Honda,Passport,5FNYF7H54KB002431,30343.0,2019,2522,6 Cyl,Blue,Gray,Automatic,FWD,20,25,Used
Honda,Civic,2HGFC2F55HH568835,15288.0,2017,51297,4 Cyl,Gray,Gray,Automatic,FWD,31,40,Used
Honda,Accord,1HGCR2F32EA085443,12495.0,2014,83436,4 Cyl,Burgundy,Tan,Automatic,FWD,26,33,Used
Honda,Civic,SHHFK7H74HU402033,20242.0,2017,33015,4 Cyl,Red,Black,Automatic,FWD,31,40,Used
Honda,Accord,1HGCR2F33HA063990,17717.0,2017,33219,4 Cyl,Red,White,Automatic,FWD,26,34,Used
Honda,CR-V,5J6RM4H71EL003199,16685.0,2014,64655,4 Cyl,Red,Gray,Automatic,AWD,22,29,Used
Honda,CR-V,2HKRM4H41GH633615,16718.0,2016,47608,4 Cyl,Black,Black,Automatic,AWD,25,31,Used
Honda,CR-V,5J6RW1H87HL003794,23991.0,2017,41277,4 Cyl,Red,White,Automatic,FWD,28,34,Used
Honda,Accord,1HGCP2F78AA003119,9500.0,2010,92071,4 Cyl,Burgundy,Tan,Automatic,FWD,21,31,Used
Honda,Civic,19XFB2F55FE276094,10998.0,2015,82835,4 Cyl,Brown,Gray,Automatic,FWD,29,37,Used
Honda,Ridgeline,2HJYK16576H501649,10995.0,2006,120853,6 Cyl,Black,Tan,Automatic,4WD,15,20,Used
Honda,Civic,19XFC1F76HE205384,19695.0,2017,34510,4 Cyl,Unspecified,Unspecified,Automatic,FWD,31,40,Used
