School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Eleanor Roosevelt Community Learning Center,51.94,51.01,-0.93,24.81,25.68,0.87,1
Grenada Elementary School District,36.22,43.71,7.49,37.8,41.72,3.92,0
Grenada Elementary,36.22,43.71,7.49,37.8,41.72,3.92,1
"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",25.5,28,2.5,20.81,21.19,0.38,1
San Pasqual Middle,31.17,31.13,-0.04,10.19,12.67,2.48,1
Alliance Marc & Eva Stern Math and Science,80,84,4,40.71,52.67,11.96,1
Equitas Academy Charter,60.54,58,-2.54,61.22,57.33,-3.89,1
Citrus High (Continuation),8.45,10.07,1.62,0,0,0,1
Montebello Gardens Elementary,52.2,64,11.8,45.91,58.67,12.76,1
Brookside Elementary,87.76,79.33,-8.43,82.19,72.67,-9.52,1
Bandini Street Elementary,37.57,43.62,6.05,27.91,33.33,5.42,1
Arts In Action Community Charter,27.63,34,6.37,23.68,29.33,5.65,1
Lincoln Elementary,33.97,36,2.03,30.13,30,-0.13,1
Mildred Perkins Elementary,43.31,47.65,4.34,33.07,36.67,3.6,1
Madison Park Academy TK-5,25.68,19.33,-6.35,13.61,14.77,1.16,1
GOALS Academy,37.5,44.67,7.17,34.17,42.57,8.4,1
River Oak Charter,40.14,42,1.86,26.35,35.62,9.27,1
Richmond Elementary School District,55,67.33,12.33,45,51.33,6.33,0
Richmond Elementary,55,67.33,12.33,45,51.33,6.33,1
Lawrence Elementary,63.33,63.33,0,64,60,-4,1
Highlands High,40.56,35.37,-5.19,20.98,19.59,-1.39,1
Roosevelt Elementary,40,36.11,-3.89,47.44,44.3,-3.14,1
Animo Leadership High,76.77,70.47,-6.3,20.65,25.5,4.85,1
Frontier High (Continuation),7.64,8.84,1.2,0,0,0,1
Virginia Road Elementary,32.5,30.87,-1.63,23.9,22.82,-1.08,1
Bowman Elementary,32.26,28.17,-4.09,11.76,13.42,1.66,1
Washington Elementary,81.53,79.87,-1.66,73.89,72.48,-1.41,1
Hammer Montessori at Galarza Elementary,72.26,67.11,-5.15,69.34,60.4,-8.94,1
Osceola Street Elementary,37.75,34.01,-3.74,25.49,26.85,1.36,1
King (Thomas Starr) Elementary,59.56,61.49,1.93,56.9,60.4,3.5,1
Adelante Charter,25.97,18.92,-7.05,20.78,26.85,6.07,1
Smith River Elementary,35.37,37.58,2.21,27.21,27.7,0.49,1
Excel Prep Charter,12.2,23.49,11.29,8.64,17.45,8.81,1
Harbor Springs Charter,48.84,35.14,-13.7,30.06,14.97,-15.09,1
Peter J. Shields Elementary,40.49,43.24,2.75,30.49,29.73,-0.76,1
Long Valley Charter,52.31,43.54,-8.77,24.62,28.38,3.76,1
Santa Susana Elementary,23.35,23.97,0.62,23.81,25.68,1.87,1
Grant Elementary,26.32,36.3,9.98,21.71,22.3,0.59,1
Aspire Triumph Technology Academy,32.17,30.82,-1.35,20.28,23.65,3.37,1
Yuba City Charter,33.83,32.43,-1.4,25.37,16.44,-8.93,1
Montvue Elementary,10.56,23.29,12.73,19.58,18.92,-0.66,1
Di Giorgio Elementary School District,25,29.73,4.73,14.09,11.49,-2.6,0
Di Giorgio Elementary,25,29.73,4.73,14.09,11.49,-2.6,1
Dozier-Libbey Medical High,67.35,75.51,8.16,31.97,28.57,-3.4,1
California Academy of Mathematics and Science,96.86,93.2,-3.66,96.88,95.14,-1.74,1
Wallenberg (Raoul) Traditional High,71.22,66.43,-4.79,45.71,55.1,9.39,1
Caruthers High,65.69,51.7,-13.99,35.04,22.45,-12.59,1
Natomas Pacific Pathways Prep,83.95,82.31,-1.64,63.58,52.38,-11.2,1
Lost Hills Elementary,28.27,29.45,1.18,11.28,17.01,5.73,1
Montague Elementary,46.51,41.55,-4.96,41.22,36.05,-5.17,1
Santa Rosa Road Academic Academy,37.76,35.17,-2.59,34.03,28.57,-5.46,1
Esperanza Elementary,24.22,29.71,5.49,27.78,31.97,4.19,1
Franklin Elementary,42.64,48.98,6.34,34.88,40.82,5.94,1
Crestview Elementary,27.45,36.36,8.91,28.76,29.93,1.17,1
Ladera Elementary,60.54,63.7,3.16,53.06,55.78,2.72,1
Oakmont Elementary,52.83,46.94,-5.89,30.82,28.57,-2.25,1
Anderson Valley Elementary,54.55,40,-14.55,36.24,28.57,-7.67,1
Ballington Academy for the Arts and Sciences,40.43,33.33,-7.1,38.28,27.89,-10.39,1
Hope Elementary School District,29.37,31.97,2.6,22.07,47.26,25.19,0
Hope Elementary,29.37,31.97,2.6,22.07,47.26,25.19,1
Golden Valley Orchard,51.75,63.27,11.52,30.07,39.46,9.39,1
PUC Santa Rosa Charter Academy,37.58,24.49,-13.09,29.3,25.17,-4.13,1
Old River Elementary,50,51.02,1.02,48.51,44.9,-3.61,1
New Middle School Pathway,47.06,40.41,-6.65,34.62,29.93,-4.69,1
Farmersville High,59.64,61.64,2,7.74,11.19,3.45,1
Linden High,53.5,42.47,-11.03,20,12.33,-7.67,1
Gridley High,58.44,28.08,-30.36,37.58,28.77,-8.81,1
Pacific Grove High,85.07,81.94,-3.13,65.47,66.44,0.97,1
Leadership Public Schools: Richmond,63.04,62.33,-0.71,26.52,28.08,1.56,1
Valley View High (Continuation),17.1,10.27,-6.83,1.04,0,-1.04,1
C. W. Haman Elementary,61.39,63.7,2.31,52.53,47.95,-4.58,1
Bradford Woodbridge Fundamental Elementary,39.16,40.41,1.25,23.08,28.28,5.2,1
William Kaseberg Elementary,52.82,53.47,0.65,38.03,29.45,-8.58,1
Freese Elementary,46.1,46.58,0.48,38.57,32.88,-5.69,1
Emerson Elementary,71.08,71.92,0.84,65.06,69.18,4.12,1
Pine Grove Elementary STEM Magnet,48.24,49.32,1.08,35.29,34.25,-1.04,1
Lake Marie Elementary,56.85,50,-6.85,36.3,36.3,0,1
Solano Avenue Elementary,71.03,58.74,-12.29,70.55,55.48,-15.07,1
Maricopa Unified School District,15.76,22.76,7,7.78,9.66,1.88,0
Trona Joint Unified School District,37.59,39.58,1.99,22.9,27.07,4.17,0
Jefferson Elementary,26.58,26.21,-0.37,27.85,24.14,-3.71,1
Val Verde High,2.48,9.49,7.01,0,0,0,1
Fairmount Elementary,30.63,32.41,1.78,18.42,18.57,0.15,1
Woodside Elementary,50,54.55,4.55,42.41,48.28,5.87,1
Tom Bradley Global Awareness Magnet,23.08,18.75,-4.33,8.97,4.9,-4.07,1
Sycamore Canyon Elementary,60.49,65.03,4.54,41.36,55.17,13.81,1
Hunt Elementary,30.86,28.28,-2.58,26.29,29.17,2.88,1
William Garrison Elementary,26.14,16.08,-10.06,14.38,13.1,-1.28,1
Flowery Elementary,38.36,42.07,3.71,38.99,35.86,-3.13,1
Mountain View Elementary,39.52,40,0.48,30.77,37.93,7.16,1
International Community,18.49,21.05,2.56,21.15,18.62,-2.53,1
Connect Community Charter,25.33,23.45,-1.88,18,15.97,-2.03,1
Firebaugh High,64.2,70.83,6.63,10.98,11.11,0.13,1
Alameda Elementary,35.16,50.69,15.53,37.5,53.47,15.97,1
Hermosa View Elementary,86.01,76.39,-9.62,84.83,83.22,-1.61,1
Rother Elementary,26.35,24.31,-2.04,15.54,16.67,1.13,1
Paramount Elementary,54.55,53.47,-1.08,43.75,52.08,8.33,1
Greenwood Academy,4.9,4.17,-0.73,0,0,0,1
Wilson Elementary,66.88,73.61,6.73,68.18,65.73,-2.45,1
Old Mill Elementary,92.59,90.21,-2.38,89.51,89.44,-0.07,1
Valleydale Elementary,29.51,38.19,8.68,36.07,34.97,-1.1,1
Cesar Chavez Language Academy,,30.77,,,22.22,,1
Del Rey Elementary,45.59,48.61,3.02,43.8,38.19,-5.61,1
The Heights Charter,65.19,63.19,-2,46.56,49.65,3.09,1
Chrysalis Charter,52.59,53.47,0.88,46.67,45.14,-1.53,1
Yreka Union High School District,67.55,65.03,-2.52,42.47,26.95,-15.52,0
Rancho Campana High,85.31,73.43,-11.88,66.48,58.74,-7.74,1
Blanche Sprentz Elementary,62.79,60.84,-1.95,50.39,49.65,-0.74,1
Robert F. Kennedy Elementary,29.65,33.1,3.45,27.17,25.87,-1.3,1
Forestville Union Elementary School District,41.94,38.46,-3.48,28.39,38.46,10.07,0
John H. Nuffer Elementary,36.08,30.07,-6.01,19.62,18.88,-0.74,1
Paradise Hills Elementary,46.76,45.45,-1.31,37.14,43.36,6.22,1
Hawes Elementary,44.44,36.96,-7.48,36.3,34.27,-2.03,1
Mountain Valley Unified School District,38.03,43.36,5.33,36.81,40.56,3.75,0
J. E. Young Academic Center,17.29,16.9,-0.39,1.6,1.46,-0.14,1
Forestville Academy,41.94,38.46,-3.48,28.39,38.46,10.07,1
Southside Elementary School District,70,68.53,-1.47,47.45,50,2.55,0
Southside Elementary,70,68.53,-1.47,47.45,50,2.55,1
Dr. Lewis Dolphin Stallworth Sr. Charter,13.74,12.95,-0.79,6.98,7.69,0.71,1
Ophir Elementary,65.61,61.97,-3.64,56.69,58.74,2.05,1
Semitropic Elementary School District,23.65,18.18,-5.47,7.43,5.59,-1.84,0
Semitropic Elementary,23.65,18.18,-5.47,7.43,5.59,-1.84,1
Redwood Preparatory Charter,65.73,60.84,-4.89,52.82,48.25,-4.57,1
Sonoma Charter,47.45,48.95,1.5,28.68,37.76,9.08,1
Milor Continuation High,4.5,2.19,-2.31,0,0,0,1
Buena Vista Elementary School District,39.44,44.06,4.62,40.85,35.66,-5.19,0
Buena Vista Elementary,39.44,44.06,4.62,40.85,35.66,-5.19,1
Lammersville Elementary,50,54.23,4.23,48.99,58.04,9.05,1
Thomas Jefferson Senior High,30.16,26.06,-4.1,7.87,9.15,1.28,1
Nuview Bridge Early College High,74.69,77.46,2.77,43.83,46.48,2.65,1
Alliance Judy Ivie Burton Technology Academy High,79.86,76.06,-3.8,47.22,54.93,7.71,1
Leadership Public Schools - Hayward,77.86,57.75,-20.11,48.94,40.29,-8.65,1
Las Lomitas Elementary,86.57,86.96,0.39,88.03,83.1,-4.93,1
Academies of Education and Empowerment at Carson High,64.1,51.41,-12.69,20.51,9.86,-10.65,1
Le Grand Union High School District,40.4,38.41,-1.99,26.53,26.06,-0.47,0
Crestwood Street Elementary,41.89,45.07,3.18,27.52,40.14,12.62,1
Federal Terrace Elementary,25.42,35.46,10.04,25.27,27.46,2.19,1
Barbara Benson Elementary,45.39,47.18,1.79,39.47,47.18,7.71,1
Cheremoya Avenue Elementary,57.79,58.45,0.66,38.71,39.44,0.73,1
Lorin Griset Academy,3.18,0.7,-2.48,0.63,0,-0.63,1
Citrus Avenue Elementary,20.3,21.83,1.53,15.79,20.42,4.63,1
PUC Milagro Charter,57.75,49.3,-8.45,57.04,53.52,-3.52,1
Morningside High School,33.86,29.29,-4.57,8.42,6.38,-2.04,1
Garvanza Elementary,45.9,54.61,8.71,30.6,46.1,15.5,1
Mountain View Elementary,62.33,65.96,3.63,56.16,53.9,-2.26,1
Foothill Elementary,48.3,51.8,3.5,42.76,42.55,-0.21,1
EnCompass Academy Elementary,24.31,15.11,-9.2,22.76,13.48,-9.28,1
Chapman Elementary,21.67,25.53,3.86,23.73,16.31,-7.42,1
Glenfeliz Boulevard Elementary,32.89,46.1,13.21,26.32,31.91,5.59,1
Louis G. Zeyen Elementary,56.72,58.57,1.85,50.75,46.1,-4.65,1
River Valley Charter,84.48,75.89,-8.59,64.71,53.96,-10.75,1
Bret Harte Elementary,7.48,15.22,7.74,6.12,8.33,2.21,1
Houghton-Kearney Elementary,41.67,46.72,5.05,33.77,34.04,0.27,1
Sierra Expeditionary Learning,67.86,73.76,5.9,65.25,69.5,4.25,1
Scott Valley Junior High,36.76,48.94,12.18,44.12,42.55,-1.57,1
El Molino High,64.04,63.57,-0.47,47.79,36.43,-11.36,1
Colfax High,77.05,73.91,-3.14,45.08,42.34,-2.74,1
Bowman (Jereann) High (Continuation),31.21,22.46,-8.75,2.86,5,2.14,1
Huntington Drive Elementary,39.76,41.61,1.85,36.14,28.57,-7.57,1
Lomita Park Elementary,44.44,38.69,-5.75,30.56,35.71,5.15,1
Alta Sierra Elementary,61.11,59.71,-1.4,48.39,51.45,3.06,1
Big Bear Elementary,29.19,34.31,5.12,16.56,15,-1.56,1
ACORN Woodland Elementary,34.29,41.3,7.01,36.43,42.86,6.43,1
Meiners Oaks Elementary,35.63,40,4.37,28.13,30.94,2.81,1
Waukena Joint Union Elementary School District,40.14,39.57,-0.57,40.14,40.71,0.57,0
Waukena Joint Union Elementary,40.14,39.57,-0.57,40.14,40.71,0.57,1
Spring Valley Elementary,49.62,48.57,-1.05,30.53,34.29,3.76,1
Abraham Lincoln Continuation,3.41,13.57,10.16,1.16,0.74,-0.42,1
Equitas Academy 4,57.89,50.72,-7.17,36.36,36.43,0.07,1
Da Vinci Design,75.2,76.26,1.06,25.6,39.57,13.97,1
Da Vinci Science,79.07,86.23,7.16,58.91,56.12,-2.79,1
Howard Inghram Elementary,45.51,38.85,-6.66,26.35,33.81,7.46,1
Beethoven Street Elementary,47.22,54.01,6.79,41.67,57.55,15.88,1
Farallone View Elementary,44.37,48.18,3.81,38.46,33.81,-4.65,1
Butte Valley Unified School District,38.93,33.09,-5.84,23.49,26.62,3.13,0
Junipero Serra Elementary,55.71,59.56,3.85,55.24,53.96,-1.28,1
Riverview Elementary,46.89,54.68,7.79,31.07,37.68,6.61,1
Atwater Avenue Elementary,36.94,43.17,6.23,34.39,26.62,-7.77,1
Somis Union School District,37.66,45.32,7.66,37.66,49.64,11.98,0
Somis Elementary,37.66,45.32,7.66,37.66,49.64,11.98,1
Woodland Star Charter,53.47,43.88,-9.59,41.38,29.5,-11.88,1
Redding STEM Academy,50,47.48,-2.52,44.78,42.45,-2.33,1
Arts in Action Community Middle,18.03,27.34,9.31,6.56,22.3,15.74,1
Carpinteria Senior High,39.85,60.74,20.89,36.57,44.2,7.63,1
Alta Heights Elementary,54,52.55,-1.45,46.67,48.55,1.88,1
Manor Elementary,65.94,73.72,7.78,52.9,57.97,5.07,1
Charles Hoffman Elementary,48.68,42.03,-6.65,32.89,29.93,-2.96,1
Kwis Elementary,46.15,48.55,2.4,27.97,43.08,15.11,1
Cimarron Avenue Elementary,32.58,34.78,2.2,26.72,20.44,-6.28,1
Henry Dalton Elementary,34.78,44.85,10.07,30.43,37.68,7.25,1
Capay Joint Union Elementary School District,50,47.1,-2.9,49.61,47.45,-2.16,0
Capay Joint Union Elementary,50,47.1,-2.9,49.61,47.45,-2.16,1
Shaffer Union Elementary School District,44.35,38.41,-5.94,35.9,30.43,-5.47,0
Shaffer Elementary,44.35,38.41,-5.94,35.9,30.43,-5.47,1
Yosemite High,63.5,75.74,12.24,26.28,37.5,11.22,1
"Lennox Mathematics, Science and Technology Academy",71.72,74.45,2.73,45.52,54.01,8.49,1
Alliance Susan and Eric Smidt Technology High,53.79,56.2,2.41,21.21,23.36,2.15,1
Gretchen Higgins Elementary,31.67,36.3,4.63,22.31,37.23,14.92,1
Sunset View Elementary,85.53,83.94,-1.59,88.82,84.67,-4.15,1
Vineland Elementary,24.83,21.21,-3.62,20.69,18.25,-2.44,1
Castle Rock,25.76,29.41,3.65,8.33,5.84,-2.49,1
Quincy Jones Elementary,34.34,40.44,6.1,30.72,33.58,2.86,1
Glenwood Elementary,15.58,36.57,20.99,18.06,21.17,3.11,1
Empire Gardens Elementary,34.75,36.5,1.75,20.98,17.04,-3.94,1
Westwood Elementary,40.44,37.23,-3.21,25,22.79,-2.21,1
Arcata Elementary,50.7,48.18,-2.52,45.45,49.63,4.18,1
San Pascual Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,43.81,49.64,5.83,28.57,50,21.43,1
William Penn Elementary,45.83,50.36,4.53,27.27,35.04,7.77,1
Vista West Continuation High,6.98,10.29,3.31,0,0.73,0.73,1
Eric Birch High (Continuation),17.93,15.33,-2.6,2.07,2.19,0.12,1
Eastin Arcola,37.12,39.42,2.3,34.33,33.82,-0.51,1
Elevate Elementary,85.38,85.4,0.02,77.52,86.13,8.61,1
Traver Joint Elementary School District,29.33,38.97,9.64,15.33,23.36,8.03,0
Traver Elementary,29.33,38.97,9.64,15.33,23.36,8.03,1
Sherman Thomas Charter,45.32,34.31,-11.01,30.22,27.01,-3.21,1
Lo-Inyo Elementary,41.8,50.36,8.56,37.23,41.91,4.68,1
Plaza Elementary School District,47.1,62.04,14.94,47.48,65.69,18.21,0
Plaza Elementary,47.1,62.04,14.94,47.48,65.69,18.21,1
Dos Palos High,55.09,58.82,3.73,12.12,17.78,5.66,1
Bear River High,65,82.35,17.35,33.61,52.94,19.33,1
Woodlake High,48.61,71.32,22.71,14.58,18.52,3.94,1
Waterford High,70.08,74.26,4.18,31.75,31.62,-0.13,1
Animo South Los Angeles Charter,42.96,38.24,-4.72,5.22,10.61,5.39,1
Manhattan Place Elementary,18.09,11.76,-6.33,13.83,5.88,-7.95,1
Cameron Ranch Elementary,25.17,21.8,-3.37,10.69,12.5,1.81,1
Theuerkauf Elementary,55.13,65.44,10.31,47.44,55.56,8.12,1
Arlington Heights Elementary,26.72,39.71,12.99,21.8,31.85,10.05,1
Maple Elementary,62.24,61.65,-0.59,52.78,57.35,4.57,1
Beach Elementary,90.18,88.24,-1.94,90.18,91.91,1.73,1
Sunset Elementary,42.37,39.71,-2.66,40.68,40.44,-0.24,1
Webster (Daniel) Elementary,35.48,44.85,9.37,31.2,48.53,17.33,1
Coastal Grove Charter,71.53,58.82,-12.71,52.55,48.53,-4.02,1
Charter Alternative Program (CAP),49.68,45.59,-4.09,31.82,23.53,-8.29,1
Lipman Middle,68.24,71.85,3.61,48.32,54.41,6.09,1
Paradise Charter Middle,65.58,65.44,-0.14,57.79,61.03,3.24,1
Oscar De La Hoya Animo Charter High,60.28,54.81,-5.47,14.29,19.26,4.97,1
Yulupa Elementary,67.41,77.04,9.63,74.81,77.04,2.23,1
Oceana High,70.15,70.37,0.22,48.09,44.36,-3.73,1
Loma Portal Elementary,69.54,65.93,-3.61,69.54,63.7,-5.84,1
Los Angeles Academy of Arts & Enterprise Charter,26.79,28.89,2.1,20.71,12.88,-7.83,1
Fifty-Fourth Street Elementary,26.06,22.39,-3.67,12.06,14.81,2.75,1
Webster Elementary,29.24,33.08,3.84,29.89,34.07,4.18,1
West Street Elementary,28.68,29.55,0.87,23.48,34.07,10.59,1
Abraham Lincoln Elementary,,14.81,,,14.07,,1
Jones Elementary,67.39,65.35,-2.04,58.87,60,1.13,1
Rock Creek Elementary,21.37,20.45,-0.92,19.7,25.56,5.86,1
Copperopolis Elementary,37.88,39.55,1.67,24.24,31.11,6.87,1
Science & Technology Academy at Knights Landing,46.06,45.93,-0.13,32.73,33.33,0.6,1
Piru Elementary,35.11,35.82,0.71,23.53,27.41,3.88,1
Sutro Elementary,48.41,62.22,13.81,65.08,68.15,3.07,1
Community School for Creative Education,29.92,24.41,-5.51,22.48,17.78,-4.7,1
Elk Hills Elementary School District,20.63,30.37,9.74,13.39,20.9,7.51,0
Elk Hills Elementary,20.63,30.37,9.74,13.39,20.9,7.51,1
Desert Learning Academy,34.4,42.22,7.82,13.6,15.15,1.55,1
Bret Harte Union High,66.22,75.37,9.15,31.51,42.86,11.35,1
La Rosa Elementary,63.45,68.42,4.97,75.86,70.9,-4.96,1
Design Tech High,,66.92,,,47.37,,1
Primary Charter,40.46,56.72,16.26,47.73,64.18,16.45,1
San Luis Rey Elementary,17.01,25,7.99,6.8,14.93,8.13,1
Century Park Elementary,22.14,13.43,-8.71,16.03,11.94,-4.09,1
Pine Grove Elementary,32.31,32.09,-0.22,36.15,27.61,-8.54,1
Roosevelt,28.46,29.1,0.64,26.15,25.56,-0.59,1
Broadacres Avenue Elementary,51.67,45.11,-6.56,45.83,38.81,-7.02,1
Plumas Avenue Elementary,50.36,50.75,0.39,30.43,30.08,-0.35,1
Clay Elementary,47.95,45.11,-2.84,41.89,40.3,-1.59,1
Centerville Elementary,47.58,52.24,4.66,41.13,41.79,0.66,1
Ramona Community Montessori,57.04,58.21,1.17,42.96,47.01,4.05,1
Loreto Street Elementary,32.08,27.82,-4.26,24.38,14.29,-10.09,1
Rachel Carson Elementary,53.33,49.62,-3.71,40,33.33,-6.67,1
Wrightwood Elementary,58.52,57.14,-1.38,46.72,46.62,-0.1,1
Lydia Romero-Cruz Elementary,29.65,32.06,2.41,25.29,27.07,1.78,1
Santa Margarita Elementary,56.1,59.4,3.3,43.9,51.88,7.98,1
Healdsburg Charter,68.31,72.52,4.21,55.32,63.16,7.84,1
Adams Elementary,33.62,38.28,4.66,34.19,34.59,0.4,1
Chin (John Yehall) Elementary,69.78,81.2,11.42,79.14,78.2,-0.94,1
Cottonwood Elementary,57.89,51.13,-6.76,40.52,42.86,2.34,1
Tehama County Department of Education School District,32.52,23.31,-9.21,18.55,12.78,-5.77,0
Tenaya Elementary,36.15,40.6,4.45,20.77,21.05,0.28,1
Sacramento Charter High,36.97,68.94,31.97,10.37,26.52,16.15,1
Gustine High,41.55,54.2,12.65,11.97,20.45,8.48,1
Animo Pat Brown,60.29,46.21,-14.08,24.26,14.39,-9.87,1
"Math, Science, & Technology Magnet Academy at Roosevelt High",78.5,86.36,7.86,40.19,49.24,9.05,1
Pinewood Elementary,36.3,46.21,9.91,19.85,37.88,18.03,1
Lone Tree Elementary,52.15,51.52,-0.63,38.04,33.33,-4.71,1
Kentwood Elementary,65.56,71.21,5.65,43.71,52.27,8.56,1
Vallecitos Elementary School District,58.57,54.26,-4.31,38.03,39.23,1.2,0
Garden Village Elementary,29.29,35.2,5.91,28.97,42.42,13.45,1
Wing Lane Elementary,44.22,48.48,4.26,25.17,38.64,13.47,1
North Park Continuation High,8.57,8.33,-0.24,0,0.78,0.78,1
Monarch,19.55,17.56,-1.99,3.73,6.06,2.33,1
Sequoia High,1.63,2.29,0.66,0,0,0,1
Almond Acres Charter Academy,42.28,45.45,3.17,35.57,39.69,4.12,1
Kaiser Elementary,55.15,67.42,12.27,56.93,70.45,13.52,1
San Andreas Elementary,34.45,29.01,-5.44,25,29.55,4.55,1
Redway Elementary,36.15,39.39,3.24,37.69,31.82,-5.87,1
James Garfield Elementary,65.41,70.99,5.58,43.61,46.21,2.6,1
Olga L. Reed Elementary,33.09,39.69,6.6,26.43,25.76,-0.67,1
Vallecitos Elementary,58.57,54.26,-4.31,38.03,39.23,1.2,1
Alvina Elementary School District,43.22,47.73,4.51,34.75,40.15,5.4,0
Alvina Elementary Charter,43.22,47.73,4.51,34.75,40.15,5.4,1
High Tech High Chula Vista,68.46,62.6,-5.86,27.89,18.32,-9.57,1
Math and Science College Preparatory,65.87,76.34,10.47,37.95,41.98,4.03,1
Oakhills Elementary,88.5,77.1,-11.4,84.07,83.97,-0.1,1
Ocean Beach Elementary,76.47,78.63,2.16,72.55,77.86,5.31,1
Perry Elementary,46.88,53.44,6.56,45.31,46.56,1.25,1
Nora Sterry Elementary,57.14,53.49,-3.65,38.03,48.85,10.82,1
Mojave High,12.03,2.29,-9.74,0,0.83,0.83,1
Dos Caminos Elementary,45.71,42.75,-2.96,37.86,33.59,-4.27,1
La Primaria Elementary,41.27,37.4,-3.87,40.48,37.01,-3.47,1
Bixby Elementary,51.59,58.02,6.43,42.19,54.2,12.01,1
Los Cerritos Elementary,34.04,38.89,4.85,20.28,25.19,4.91,1
Lincoln Elementary,21.32,31.3,9.98,13.33,16.03,2.7,1
Loma Prieta Elementary,72.66,73.85,1.19,71.32,74.81,3.49,1
Beresford Elementary,58.97,51.94,-7.03,58.82,53.44,-5.38,1
Pierpont Elementary,67.42,68.7,1.28,56.82,63.85,7.03,1
Butteville Union Elementary School District,58.99,54.2,-4.79,46.04,45.04,-1,0
Butteville Elementary,58.99,54.2,-4.79,46.04,45.04,-1,1
High Desert Premier Academy,21.05,19.38,-1.67,4.61,6.92,2.31,1
Conejo Middle,19.42,31.54,12.12,7.86,19.85,11.99,1
River Charter Schools Lighthouse Charter,46.15,37.69,-8.46,56.41,41.22,-15.19,1
Alliance Patti And Peter Neuwirth Leadership Academy,82.22,70.77,-11.45,46.67,43.85,-2.82,1
Hughson Elementary,44.62,51.56,6.94,38.46,43.85,5.39,1
Lakeport Elementary,41,17.83,-23.17,35,26.15,-8.85,1
MIT Academy,62.81,66.41,3.6,27.64,35.38,7.74,1
Lindbergh/Schweitzer Elementary,50.68,49.61,-1.07,45.27,36.15,-9.12,1
Johnson Elementary,36.13,39.23,3.1,30.32,32.31,1.99,1
Fifty-Ninth Street Elementary,19.58,25.2,5.62,10.49,13.08,2.59,1
Bowers Elementary,41.1,46.92,5.82,40.41,36.92,-3.49,1
Aspire College Academy,29.32,20,-9.32,26.32,26.92,0.6,1
Stege Elementary,7.75,10.85,3.1,3.05,7.69,4.64,1
Valley Charter Elementary,65.91,62.31,-3.6,57.58,61.54,3.96,1
Black Butte Union Elementary School District,32.31,33.33,1.02,26.92,31.01,4.09,0
Pioneer Magnet School for the Visual and Performing Arts,27.12,42.31,15.19,25.42,29.23,3.81,1
Gerber Jr./Sr. High,11.11,14.96,3.85,0,3.2,3.2,1
Health Sciences High,54.67,57.03,2.36,19.33,17.19,-2.14,1
International Polytechnic High,95.49,89.15,-6.34,65.41,62.79,-2.62,1
Environmental Charter High,61.31,71.32,10.01,30.88,36.43,5.55,1
Elise P. Buckingham Charter Magnet High,66.39,77.52,11.13,41.8,44.96,3.16,1
Fremont Primary,31.34,31.78,0.44,28.36,28.68,0.32,1
Piedmont Avenue Elementary,28.17,23.62,-4.55,20.28,20.16,-0.12,1
Tracy (Wilbur) High (Continuation),23.76,20.8,-2.96,5,4.65,-0.35,1
Mayberry Street Elementary,23.38,19.53,-3.85,7.14,10.08,2.94,1
Portola Junior/Senior High,59.02,55.47,-3.55,39.02,28.68,-10.34,1
Paradise Elementary School District,70.4,62.79,-7.61,63.2,64.34,1.14,0
Riverview Middle,40.54,45.74,5.2,20.13,35.94,15.81,1
Blochman Union Elementary School District,50.36,53.13,2.77,38.85,35.94,-2.91,0
Riverdale High,41.8,54.69,12.89,20.49,28.35,7.86,1
Augustus F. Hawkins High A Critical Design and Gaming,35.77,25.78,-9.99,13.01,7.03,-5.98,1
Hamlin Charter Academy,64.24,54.69,-9.55,45.75,44.53,-1.22,1
California School for the Deaf-Fremont (State Special Schl) School District,7.69,8.66,0.97,4.27,4.69,0.42,0
California School for the Deaf-Fremont,7.69,8.66,0.97,4.27,4.69,0.42,1
Kings Beach Elementary,45.14,40.63,-4.51,46.85,50.78,3.93,1
Hardy Brown College Prep,45.33,57.03,11.7,33.78,50.78,17,1
Healdsburg Elementary,32.85,42.97,10.12,23.36,38.28,14.92,1
Willmore Elementary,42.15,43.2,1.05,42.15,47.66,5.51,1
Temple Academy,31.39,27.56,-3.83,13.04,10.16,-2.88,1
Keith McCarthy Academy,25.55,28.13,2.58,8.09,6.3,-1.79,1
Cappy Culver Elementary,53.03,59.84,6.81,47.73,52.34,4.61,1
Fort Sage Unified School District,35.97,36.51,0.54,19.71,14.84,-4.87,0
Pauma Elementary,35.16,39.52,4.36,13.85,13.28,-0.57,1
Columbus Continuation,5.6,17.97,12.37,0.8,0.78,-0.02,1
Antioch Charter Academy II,52.07,43.75,-8.32,42.15,34.38,-7.77,1
Benjamin Foxen Elementary,50.36,53.13,2.77,38.85,35.94,-2.91,1
Pine Elementary,47.37,61.42,14.05,37.72,53.91,16.19,1
Santa Rosa Accelerated Charter,,78.13,,,84.38,,1
Orange Cove High,76.52,70.63,-5.89,25.56,18.9,-6.66,1
Liberty High,72.39,63.11,-9.28,40.74,33.86,-6.88,1
Hawthorne Math and Science Academy,89.74,95.28,5.54,74.36,73.23,-1.13,1
