School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Glendora Unified School District,66.68,67.25,0.57,56.36,58.67,2.31,0
Western Placer Unified School District,59.65,60.69,1.04,48.73,51.77,3.04,0
Novato Unified School District,55.25,54.83,-0.42,46.13,48.57,2.44,0
Perris Union High School District,39.26,43.36,4.1,15.02,19.25,4.23,0
Huntington Beach Union High School District,71.94,74.71,2.77,50.07,48.93,-1.14,0
Culver City Unified School District,69.12,69.7,0.58,55.64,56.34,0.7,0
Hollister School District,49.86,47.11,-2.75,34.05,35.05,1,0
Grossmont Union High School District,60.1,56.07,-4.03,33.67,32.72,-0.95,0
Claremont Unified School District,64.21,64.38,0.17,51.45,50.9,-0.55,0
River Springs Charter,49.47,48.99,-0.48,34.58,34.98,0.4,1
Dinuba Unified School District,43.12,45.18,2.06,31.28,34.14,2.86,0
Modesto City High School District,47.74,50.79,3.05,21.9,24.36,2.46,0
El Centro Elementary School District,42.8,44.59,1.79,29.83,32.61,2.78,0
Lawndale Elementary School District,49.46,49.96,0.5,36.43,39.03,2.6,0
Rio Elementary School District,34.8,36.54,1.74,25.04,26.28,1.24,0
Paso Robles Joint Unified School District,49.08,47.51,-1.57,36.27,35.84,-0.43,0
Selma Unified School District,44.01,43.78,-0.23,23.49,23.55,0.06,0
Atwater Elementary School District,47.47,47.91,0.44,34.83,34.85,0.02,0
Oakley Union Elementary School District,39.39,39.45,0.06,26.56,26.53,-0.03,0
Magnolia Elementary School District,52.55,53.57,1.02,46.24,46.76,0.52,0
Perris Elementary School District,33.25,34.47,1.22,22.97,23.88,0.91,0
Barstow Unified School District,30.73,29.13,-1.6,20.02,17.67,-2.35,0
Manhattan Beach Unified School District,83.79,84.78,0.99,76.85,79.5,2.65,0
Mountain View Whisman School District,67.93,70.71,2.78,64.31,63.66,-0.65,0
Orcutt Union Elementary School District,52.39,54.19,1.8,45.13,43.8,-1.33,0
Fullerton Joint Union High School District,62.2,65.1,2.9,41.95,43.84,1.89,0
Moorpark Unified School District,62.12,60.64,-1.48,48.67,48.07,-0.6,0
Buckeye Union Elementary School District,70.94,73.79,2.85,65.48,67.3,1.82,0
Patterson Joint Unified School District,37.91,38.67,0.76,25.38,25.59,0.21,0
Lennox School District,37.18,43.25,6.07,31.52,36.18,4.66,0
Lakeside Union Elementary School District,53.47,52.46,-1.01,41.62,41.39,-0.23,0
Brea-Olinda Unified School District,67.15,67.19,0.04,63.16,62.32,-0.84,0
San Ysidro Elementary School District,39.68,40.55,0.87,28.78,31.45,2.67,0
Lammersville Joint Unified School District,68.72,70.18,1.46,60.28,66.24,5.96,0
Fallbrook Union Elementary School District,56.54,53.33,-3.21,45.02,43.41,-1.61,0
Temple City Unified School District,67.92,70.62,2.7,67.19,67.86,0.67,0
Central Elementary School District,55.23,55.87,0.64,42.64,43.1,0.46,0
